"transcript"	"Sample_118A"	"Sample_119B"	"Sample_120A"	"DF5"	"DF19"	"Sample_103A"	"Sample_104B"	"Sample_105B"	"spike_Z32_rep1"	"spike_Z32_rep2"
"TRINITY_DN0_c0_g1_i1"	121	101	95	91	170	108	37	99	0	18
"TRINITY_DN1_c0_g1_i2"	0	1	3	0	0	1	3	0	0	0
"TRINITY_DN10_c0_g1_i1"	152	112	107	16	39	126	63	75	0	26
"TRINITY_DN10_c0_g2_i1"	252	177	175	299	461	242	101	133	0	91
"TRINITY_DN100_c0_g1_i1"	5	9	7	0	0	2	0	2	0	2
"TRINITY_DN1000_c0_g1_i10"	2663.44	2233.68	2896.81	1819.99	2857.04	2875.45	1473.26	2975.73	2592.91	655.791
"TRINITY_DN1000_c0_g1_i3"	5069.56	4168.32	5190.19	2805.01	4825.96	5468.55	2916.74	5371.27	5312.09	1438.21
"TRINITY_DN1000_c0_g2_i2"	5717	4678	5961	6012	9194	8207	4598	7742	8389	2083
"TRINITY_DN1001_c0_g1_i1"	72.9326	69.5094	54.8223	24.5576	25.5303	2.06687	0	2.03492	0	3.47711
"TRINITY_DN1001_c0_g1_i3"	2193.07	2093.49	1868.18	1650.44	2773.47	44.9331	36	45.9651	0	22.5229
"TRINITY_DN1002_c0_g1_i2"	9999.88	12444.9	8879.85	3404	5486	14	55	34	0	143
"TRINITY_DN1002_c0_g2_i2"	950.118	922.095	1081.15	443	596	4	25	6	0	25
"TRINITY_DN1003_c0_g1_i2"	502.983	873.892	251.941	1468.81	3278.31	2067	832.652	966.786	2	9
"TRINITY_DN1003_c0_g1_i4"	9.01739	107.108	16.0592	311.19	503.688	1357	311.348	266.214	1	0
"TRINITY_DN1004_c0_g1_i1"	253	115	35	4	8	286	238	187	0	381
"TRINITY_DN1004_c1_g1_i1"	205.925	345.783	243.009	391.543	643.594	3.66729	4.04754	1.70263	29.1209	5.63597
"TRINITY_DN1004_c1_g1_i10"	692.617	626.508	635.44	135.017	267.275	20.6765	15.0099	15.7027	0	0
"TRINITY_DN1004_c1_g1_i2"	56.0316	146.559	138.044	8.94296	0	4.85558	0	0	0	0
"TRINITY_DN1004_c1_g1_i3"	5180.69	5760.3	5308.63	1386.5	2424.78	25.808	39.6113	14.2974	382.879	32.364
"TRINITY_DN1004_c1_g1_i9"	4902.73	5744.85	4148.88	524.001	1016.35	46.9926	90.3312	28.2973	0	0
"TRINITY_DN1005_c0_g1_i5"	4975.96	4520.99	4666.99	10150	14832	9113.9	3831.98	6229.93	2289.97	526
"TRINITY_DN1005_c0_g2_i1"	3.04204	2.00515	1.01469	3	2.00688	10.1013	2.01715	8.07324	1.02625	0
"TRINITY_DN1006_c0_g1_i1"	783.734	1060.7	949.392	745.551	1451.9	7563.17	2393	3058.43	2.61284	0
"TRINITY_DN1006_c0_g1_i2"	448.266	488.304	647.608	2360.45	3525.1	2683.83	1092	1766.57	3.38716	0
"TRINITY_DN1006_c0_g2_i3"	2305	2669	2305	1729	2856	21288	2194	1874	0	185
"TRINITY_DN1006_c0_g3_i1"	1377.04	1132.42	1676.75	3007.43	4798.66	12237.2	1281.78	1095.52	0	443.602
"TRINITY_DN1006_c0_g3_i2"	811.959	765.579	1072.25	670.571	1094.34	9873.81	1441.22	1332.48	0	88.3981
"TRINITY_DN1007_c0_g1_i1"	11.3652	12.1358	14.1252	1281.76	1863.25	6.54045	0	5.45053	0	6.7527
"TRINITY_DN1007_c0_g1_i2"	1578.63	1134.34	1523.87	687.717	1339.71	1623.46	220	375.549	0	442.005
"TRINITY_DN1007_c0_g1_i3"	6841.98	5104.48	5703.56	5320.82	8181.98	5733.3	1924.52	3076.4	5873	719.078
"TRINITY_DN1007_c0_g1_i5"	4534.02	3474.05	3473.44	1363.7	2456.06	5155.7	741.923	1429.6	0	372.854
"TRINITY_DN1007_c0_g2_i1"	5250	3325	4597	140	278	6042	659	1260	0	1012.31
"TRINITY_DN1007_c0_g3_i1"	437	729	320	514	857	2362	1307.56	1406	8	1
"TRINITY_DN1008_c0_g1_i6"	3526	2915	4093	4155	6242	3344	2424	2817	3977	1522
"TRINITY_DN1008_c0_g1_i7"	1614	1245	1774	794	1303	1397	1165	1176	2716	671
"TRINITY_DN1009_c0_g1_i1"	4985.23	4481.58	4476.73	3149.99	4933.53	1530	275	419	0	140.505
"TRINITY_DN1009_c0_g1_i3"	159.766	137.416	154.269	341.006	601.473	61	16	23	0	9.49476
"TRINITY_DN1009_c0_g1_i4"	6	6	4	0	1	0	0	0	0	0
"TRINITY_DN1010_c0_g1_i1"	25.9355	43	29.0411	2	0	3136.6	2553.71	3218.15	0	0
"TRINITY_DN1010_c0_g1_i2"	8.06446	0	8.95889	0	3	689.403	632.291	1280.85	0	0
"TRINITY_DN1010_c1_g1_i1"	715	532	740	548	876	160	78	174	672	83
"TRINITY_DN1010_c1_g2_i1"	129.898	100.116	198.321	20.9662	40	45.9825	22.4671	54.0861	106	31
"TRINITY_DN1010_c1_g2_i2"	8.10183	2.88371	5.67885	1.03381	0	6.01748	4.53293	5.91393	0	0
"TRINITY_DN1010_c1_g3_i2"	3880	3288	3768	2442	3659	3511	201	275	1313	158
"TRINITY_DN1011_c0_g1_i4"	13065	10927	13639	4575	7047	12722	8965	11429	17236	4860
"TRINITY_DN1012_c0_g1_i1"	3639	2980	4103	1929	3082	4131	2443	3069	6038	1435
"TRINITY_DN1012_c0_g2_i1"	683	1014	276	392	541	231	114	222	0	2
"TRINITY_DN1013_c1_g1_i1"	2	2	2	0	0	4	3	4	0	0
"TRINITY_DN1013_c2_g1_i1"	5	12	4.0073	0	0	7.0423	0	8	0	0
"TRINITY_DN1013_c2_g1_i11"	180.44	136.23	218.481	44.6881	65.862	147.846	39.0411	112.995	183.088	42.4554
"TRINITY_DN1013_c2_g1_i12"	65.3982	63.5691	26.8943	0	0	116.707	16.2515	61.2923	0	0
"TRINITY_DN1013_c2_g1_i13"	33.8408	36.71	44.3365	319.184	401.345	38.9226	40.1506	26.1454	83.8375	20
"TRINITY_DN1013_c2_g1_i14"	1.54574	1.37819	1.68431	0	3.13839	9.08951	1.47116	0	0	0
"TRINITY_DN1013_c2_g1_i15"	0	0	0	2	0	1.15747	2	0	0	0
"TRINITY_DN1013_c2_g1_i16"	2.68476	0	0	0	0	4.21297	1.32119	21.0497	0	0
"TRINITY_DN1013_c2_g1_i17"	122.079	130.023	142.54	58	93.8616	339.808	133.669	201.732	0	37
"TRINITY_DN1013_c2_g1_i18"	46.6643	27.9122	29.1306	1071.66	1583.56	88.7713	53.8224	45.7689	0	54.1764
"TRINITY_DN1013_c2_g1_i4"	145.711	100.361	78.5152	794.802	1228.93	175.527	73.0808	113.464	0	8.25209
"TRINITY_DN1013_c2_g1_i5"	0	0	0	0	0	2.86685	0	0	0	1
"TRINITY_DN1013_c2_g1_i6"	72.9916	73.7308	61.4785	163.918	164.734	68.2724	83.0906	66.3944	21.6804	14.4158
"TRINITY_DN1013_c2_g1_i7"	8	9	5.02177	1	0	19.0911	12	20	0	0
"TRINITY_DN1013_c2_g1_i8"	353.956	195.295	231.382	1995.26	2922.47	332.008	94.0656	103.5	0	127.869
"TRINITY_DN1013_c2_g1_i9"	1141.25	984.774	1239.75	680.128	905.11	1186.87	903.342	954.91	1834.29	460.831
"TRINITY_DN1013_c2_g2_i1"	1979.65	1555.65	2147.3	2316.83	3564.4	1524.76	1032.1	1213.06	1	786.371
"TRINITY_DN1013_c2_g2_i7"	624.203	458.574	604.273	709.253	1026.53	350.348	293.008	317.602	0	177.943
"TRINITY_DN1013_c2_g2_i8"	913.148	803.775	1179.43	1444.91	2134.08	678.893	494.891	571.339	0	389.686
"TRINITY_DN1013_c2_g3_i1"	213.413	214.447	212.332	815	1130	155.66	88	118	230.925	36.4942
"TRINITY_DN1013_c2_g4_i1"	17	12	12	76	136.626	30	11	18	0	4
"TRINITY_DN1014_c0_g1_i1"	0	0	0	0	0	0	1149	40	0	0
"TRINITY_DN1014_c0_g1_i2"	1628.88	2190.9	1314.12	1364	2260	1658.01	8408.47	570.52	0	129
"TRINITY_DN1014_c0_g2_i10"	1	0	0	0	0	12.7814	128.684	8.86482	0	0
"TRINITY_DN1014_c0_g2_i11"	1	0	0	0	0	79.0575	304.658	21.4766	0	0
"TRINITY_DN1014_c0_g2_i12"	0	0	0	0	0	14.1092	131.074	42.6586	0	0
"TRINITY_DN1014_c0_g3_i2"	7	9	2	0	0	63.6553	74.2016	26	0	0
"TRINITY_DN1014_c0_g3_i5"	4634	4601	2500	310	626	217.397	2024.38	144	145	25
"TRINITY_DN1014_c0_g3_i6"	0	0	0	0	0	5.09775	6.0843	2.03409	0	0
