target_id	length	eff_length	est_counts	tpm
TRINITY_DN98_c0_g1_i1	985	795.084	852	259.029
TRINITY_DN2_c0_g1_i1	1096	906.084	770	205.421
TRINITY_DN48_c0_g1_i1	789	599.145	84	33.8898
TRINITY_DN70_c0_g1_i1	1074	884.084	2431	664.681
TRINITY_DN66_c0_g1_i1	365	181.05	0	0
TRINITY_DN66_c0_g1_i2	321	141.463	0	0
TRINITY_DN76_c0_g1_i1	1395	1205.08	8	1.6047
TRINITY_DN43_c0_g1_i1	586	396.315	3436	2095.73
TRINITY_DN43_c0_g2_i1	1499	1309.08	692	127.779
TRINITY_DN33_c0_g1_i1	467	278.63	623	540.482
TRINITY_DN82_c0_g1_i1	1266	1076.08	6	1.3478
TRINITY_DN25_c0_g1_i1	402	215.936	89.4933	100.182
TRINITY_DN25_c0_g1_i2	475	286.432	18.5067	15.6181
TRINITY_DN19_c0_g1_i1	384	198.758	0	0
TRINITY_DN19_c0_g1_i2	584	394.315	0	0
TRINITY_DN44_c0_g1_i1	1352	1162.08	360.786	75.0471
TRINITY_DN44_c0_g1_i2	1429	1239.08	6.21415	1.21228
TRINITY_DN61_c0_g1_i1	201	47.7346	0	0
TRINITY_DN22_c0_g1_i1	586	396.315	477.351	291.151
TRINITY_DN22_c0_g1_i2	345	162.742	29.6492	44.0388
TRINITY_DN78_c0_g1_i1	1065	875.084	125	34.5289
TRINITY_DN85_c0_g1_i1	2158	1968.08	9	1.1054
TRINITY_DN85_c0_g2_i1	949	759.084	0	0
TRINITY_DN29_c0_g1_i2	300	122.936	2866	5635.33
TRINITY_DN60_c0_g1_i1	202	48.3941	1	4.99493
TRINITY_DN60_c0_g2_i1	560	370.391	3	1.95787
TRINITY_DN45_c0_g1_i1	1627	1437.08	61	10.2605
TRINITY_DN83_c0_g1_i1	790	600.145	761.038	306.529
TRINITY_DN83_c0_g1_i2	861	671.084	12.9621	4.66897
TRINITY_DN47_c0_g1_i1	2703	2513.08	8	0.769493
TRINITY_DN58_c0_g1_i1	1015	825.084	1292	378.518
TRINITY_DN95_c0_g1_i1	542	352.607	161	110.371
TRINITY_DN91_c0_g1_i1	912	722.084	15	5.02141
TRINITY_DN56_c0_g1_i1	224	63.126	3	11.4878
TRINITY_DN51_c0_g1_i1	395	209.302	19	21.9433
TRINITY_DN90_c0_g1_i2	1153	963.084	31	7.78071
TRINITY_DN18_c0_g1_i1	220	60.5122	0	0
TRINITY_DN40_c0_g1_i1	964	774.084	423	132.091
TRINITY_DN16_c0_g1_i2	1091	901.084	0	0
TRINITY_DN55_c0_g1_i1	2183	1993.08	207	25.1054
TRINITY_DN59_c0_g1_i1	286	111.091	0	0
TRINITY_DN59_c0_g1_i2	264	93.2668	0	0
TRINITY_DN64_c0_g1_i1	270	98.0483	32	78.8918
TRINITY_DN64_c0_g2_i1	281	106.913	74	167.311
TRINITY_DN96_c0_g1_i1	205	50.3042	0	0
TRINITY_DN96_c0_g1_i2	202	48.3941	0	0
TRINITY_DN71_c0_g1_i1	205	50.3042	0	0
TRINITY_DN5_c0_g1_i1	832	642.084	46	17.3176
TRINITY_DN81_c0_g1_i1	483	294.229	1595	1310.38
TRINITY_DN37_c0_g1_i1	215	57.1023	5	21.166
TRINITY_DN37_c0_g2_i1	283	108.547	3	6.68078
TRINITY_DN79_c0_g1_i1	732	542.145	1556	693.771
TRINITY_DN75_c0_g1_i1	352	169.16	0	0
TRINITY_DN93_c0_g1_i1	1746	1556.08	3.30791	0.513857
TRINITY_DN93_c0_g1_i2	1647	1457.08	423.692	70.2891
TRINITY_DN1_c0_g1_i2	212	55.0854	0	0
TRINITY_DN99_c0_g1_i1	1244	1054.08	969	222.214
TRINITY_DN3_c0_g1_i1	1733	1543.08	1454	227.77
TRINITY_DN14_c0_g1_i1	285	110.212	0	0
TRINITY_DN14_c0_g2_i1	363	179.216	0	0
TRINITY_DN31_c0_g1_i1	221	61.144	0	0
TRINITY_DN7_c0_g1_i1	1836	1646.08	45	6.60819
TRINITY_DN8_c0_g1_i1	346	163.658	1	1.47702
TRINITY_DN62_c0_g1_i1	249	81.3833	104	308.902
TRINITY_DN62_c0_g2_i1	300	122.936	112	220.222
TRINITY_DN88_c0_g1_i1	1778	1588.08	411	62.5591
TRINITY_DN87_c0_g1_i1	661	471.145	2261	1160.03
TRINITY_DN39_c0_g1_i1	441	253.24	129	123.134
TRINITY_DN97_c0_g1_i1	636	446.192	83	44.9654
TRINITY_DN52_c0_g1_i1	564	374.354	671	433.274
TRINITY_DN0_c0_g1_i1	1208	1018.08	170	40.3634
TRINITY_DN21_c0_g1_i1	2857	2667.08	26	2.35645
TRINITY_DN28_c0_g1_i1	312	133.681	0	0
TRINITY_DN35_c0_g1_i1	1222	1032.08	893	209.15
TRINITY_DN24_c0_g1_i1	609	419.192	1928.07	1111.81
TRINITY_DN24_c0_g1_i2	698	508.145	16.9346	8.0558
TRINITY_DN23_c0_g1_i1	388	202.615	0	0
TRINITY_DN23_c0_g2_i1	853	663.084	0	0
TRINITY_DN10_c0_g1_i1	290	114.43	39	82.3845
TRINITY_DN10_c0_g2_i1	391	205.491	461	542.288
TRINITY_DN57_c0_g1_i2	202	48.3941	1	4.99493
