target_id	length	eff_length	est_counts	tpm
TRINITY_DN98_c0_g1_i1	985	799.411	464	216.321
TRINITY_DN2_c0_g1_i1	1096	910.411	14	5.73115
TRINITY_DN48_c0_g1_i1	789	603.477	330	203.8
TRINITY_DN70_c0_g1_i1	1074	888.411	309	129.627
TRINITY_DN66_c0_g1_i1	365	190.807	4	7.813
TRINITY_DN66_c0_g1_i2	321	152.692	0	0
TRINITY_DN76_c0_g1_i1	1395	1209.41	0	0
TRINITY_DN43_c0_g1_i1	586	401.554	35	32.4844
TRINITY_DN43_c0_g2_i1	1499	1313.41	83	23.5521
TRINITY_DN33_c0_g1_i1	467	285.7	139	181.324
TRINITY_DN82_c0_g1_i1	1266	1080.41	19	6.55415
TRINITY_DN25_c0_g1_i1	402	224.455	4.08025	6.775
TRINITY_DN25_c0_g1_i2	475	293.263	4.91975	6.25226
TRINITY_DN19_c0_g1_i1	384	207.807	0	0
TRINITY_DN19_c0_g1_i2	584	399.554	0	0
TRINITY_DN44_c0_g1_i1	1352	1166.41	59.3413	18.9608
TRINITY_DN44_c0_g1_i2	1429	1243.41	8.6587	2.59531
TRINITY_DN61_c0_g1_i1	201	61.5629	1	6.05386
TRINITY_DN22_c0_g1_i1	586	401.554	323.995	300.708
TRINITY_DN22_c0_g1_i2	345	173.434	4.00495	8.60626
TRINITY_DN78_c0_g1_i1	1065	879.411	146	61.8746
TRINITY_DN85_c0_g1_i1	2158	1972.41	3	0.56686
TRINITY_DN85_c0_g2_i1	949	763.411	0	0
TRINITY_DN29_c0_g1_i2	300	135.18	346	953.929
TRINITY_DN60_c0_g1_i1	202	62.2467	0	0
TRINITY_DN60_c0_g2_i1	560	375.939	7	6.93956
TRINITY_DN45_c0_g1_i1	1627	1441.41	6	1.55137
TRINITY_DN83_c0_g1_i1	790	604.477	15	9.24832
TRINITY_DN83_c0_g1_i2	861	675.411	0	0
TRINITY_DN47_c0_g1_i1	2703	2517.41	7	1.03632
TRINITY_DN58_c0_g1_i1	1015	829.411	356	159.968
TRINITY_DN95_c0_g1_i1	542	358.231	3	3.12111
TRINITY_DN91_c0_g1_i1	912	726.411	0	0
TRINITY_DN56_c0_g1_i1	224	77.3803	4	19.2655
TRINITY_DN51_c0_g1_i1	395	217.863	7	11.9747
TRINITY_DN90_c0_g1_i2	1153	967.411	249	95.9268
TRINITY_DN18_c0_g1_i1	220	74.462	3	15.0154
TRINITY_DN40_c0_g1_i1	964	778.411	211	101.024
TRINITY_DN16_c0_g1_i2	1091	905.411	50	20.5814
TRINITY_DN55_c0_g1_i1	2183	1997.41	126	23.5101
TRINITY_DN59_c0_g1_i1	286	124.033	1	3.0048
TRINITY_DN59_c0_g1_i2	264	106.836	0	0
TRINITY_DN64_c0_g1_i1	270	111.308	1	3.3483
TRINITY_DN64_c0_g2_i1	281	120	3	9.31735
TRINITY_DN96_c0_g1_i1	205	64.1594	3	17.4266
TRINITY_DN96_c0_g1_i2	202	62.2467	1	5.98736
TRINITY_DN71_c0_g1_i1	205	64.1594	47	273.017
TRINITY_DN5_c0_g1_i1	832	646.477	1	0.576499
TRINITY_DN81_c0_g1_i1	483	300.994	5	6.19105
TRINITY_DN37_c0_g1_i1	215	71.066	2	10.4887
TRINITY_DN37_c0_g2_i1	283	121.643	0	0
TRINITY_DN79_c0_g1_i1	732	546.592	593	404.337
TRINITY_DN75_c0_g1_i1	352	179.375	1	2.07773
TRINITY_DN93_c0_g1_i1	1746	1560.41	7.70016	1.83913
TRINITY_DN93_c0_g1_i2	1647	1461.41	42.2998	10.7874
TRINITY_DN1_c0_g1_i2	212	68.9425	3	16.2176
TRINITY_DN99_c0_g1_i1	1244	1058.41	457	160.921
TRINITY_DN3_c0_g1_i1	1733	1547.41	108	26.0118
TRINITY_DN14_c0_g1_i1	285	123.214	0	0
TRINITY_DN14_c0_g2_i1	363	189.104	0	0
TRINITY_DN31_c0_g1_i1	221	75.2919	0	0
TRINITY_DN7_c0_g1_i1	1836	1650.41	19	4.29055
TRINITY_DN8_c0_g1_i1	346	174.195	14	29.9532
TRINITY_DN62_c0_g1_i1	249	95.4481	0	0
TRINITY_DN62_c0_g2_i1	300	135.18	2	5.51404
TRINITY_DN88_c0_g1_i1	1778	1592.41	7	1.6383
TRINITY_DN87_c0_g1_i1	661	475.947	1305	1021.89
TRINITY_DN39_c0_g1_i1	441	260.719	50	71.474
TRINITY_DN97_c0_g1_i1	636	451.086	187	154.502
TRINITY_DN52_c0_g1_i1	564	379.788	107	105.001
TRINITY_DN0_c0_g1_i1	1208	1022.41	37	13.4874
TRINITY_DN21_c0_g1_i1	2857	2671.41	40	5.58047
TRINITY_DN28_c0_g1_i1	312	145.206	0	0
TRINITY_DN35_c0_g1_i1	1222	1036.41	263	94.5748
TRINITY_DN24_c0_g1_i1	609	424.388	385.781	338.789
TRINITY_DN24_c0_g1_i2	698	512.7	38.219	27.7822
TRINITY_DN23_c0_g1_i1	388	211.483	7	12.336
TRINITY_DN23_c0_g2_i1	853	667.411	12	6.701
TRINITY_DN10_c0_g1_i1	290	127.185	63	184.61
TRINITY_DN10_c0_g2_i1	391	214.263	101	175.681
TRINITY_DN57_c0_g1_i2	202	62.2467	1.75865	10.5297
TRINITY_DN20_c0_g1_i1	1009	823.411	12	5.43145
TRINITY_DN68_c0_g1_i1	235	85.3648	0	0
TRINITY_DN53_c0_g1_i1	410	231.941	21	33.7437
TRINITY_DN32_c0_g1_i1	260	103.78	1	3.59118
TRINITY_DN4_c0_g1_i1	797	611.477	109	66.4351
TRINITY_DN9_c0_g1_i1	1805	1619.41	198	45.568
TRINITY_DN46_c0_g1_i1	450	269.289	183.709	254.252
TRINITY_DN46_c0_g1_i2	539	355.339	14.2908	14.9887
TRINITY_DN6_c0_g1_i1	204	63.5536	0	0
TRINITY_DN54_c0_g1_i1	872	686.411	55	29.8628
TRINITY_DN84_c0_g1_i1	3521	3335.41	7	0.782168
TRINITY_DN26_c0_g1_i1	1981	1795.41	1854	384.855
TRINITY_DN89_c0_g1_i1	582	397.554	21	19.6868
TRINITY_DN12_c0_g1_i1	714	528.7	436	307.347
TRINITY_DN41_c0_g1_i1	601	416.473	2	1.78976
TRINITY_DN77_c0_g1_i1	264	106.836	1	3.48847
TRINITY_DN13_c0_g1_i1	236	85.9735	0	0
TRINITY_DN13_c0_g1_i2	304	138.398	0	0
TRINITY_DN30_c0_g1_i2	402	224.455	4	6.64174
TRINITY_DN72_c0_g1_i1	825	639.477	351	204.566
TRINITY_DN65_c0_g1_i1	354	181.148	4	8.2296
TRINITY_DN38_c0_g1_i1	1076	890.411	37	15.4868
TRINITY_DN63_c0_g1_i1	1318	1132.41	158	52.0002
TRINITY_DN50_c0_g1_i1	227	79.5985	2	9.36433
TRINITY_DN34_c0_g1_i1	214	70.3275	15	79.491
TRINITY_DN42_c0_g1_i1	3086	2900.41	1	0.128497
TRINITY_DN74_c0_g1_i1	230	81.8002	10	45.5614
TRINITY_DN11_c0_g1_i1	232	83.2261	6	26.8685
TRINITY_DN49_c0_g1_i2	511	327.917	8	9.09237
TRINITY_DN15_c0_g1_i1	269	110.566	1	3.37078
TRINITY_DN80_c0_g1_i1	456	275.097	79	107.027
TRINITY_DN80_c0_g1_i2	428	248.394	0	0
TRINITY_DN86_c0_g1_i1	1274	1088.41	194	66.4294
TRINITY_DN73_c0_g1_i1	882	696.411	2.64436	1.41516
TRINITY_DN73_c0_g1_i2	774	588.537	11.3556	7.19101
TRINITY_DN17_c0_g1_i1	639	454.086	227	186.311
TRINITY_DN94_c0_g1_i1	1746	1560.41	62	14.8083
TRINITY_DN27_c0_g1_i1	1737	1551.41	257	61.7388
TRINITY_DN266_c0_g1_i1	338	167.227	9	20.058
TRINITY_DN250_c0_g1_i1	882	696.411	1427.44	763.91
TRINITY_DN250_c0_g1_i2	992	806.411	2.56476	1.18534
TRINITY_DN201_c0_g1_i1	3090	2904.41	704	90.3371
TRINITY_DN280_c0_g1_i1	1177	991.411	121	45.4866
TRINITY_DN280_c0_g2_i1	923	737.411	190	96.0275
TRINITY_DN202_c0_g1_i1	345	173.434	2	4.29781
TRINITY_DN210_c0_g1_i1	201	61.5629	0	0
