target_id	length	eff_length	est_counts	tpm
TraesCS1A01G000100LC.1	2740	2741	6487.49	765.797
TraesCS1A01G000400.1	3055	3056	242.623	25.6877
TraesCS1A01G000900.1	2987	2988	2096.85	227.056
TraesCS1A01G001000.1	2332	2333	371.247	51.4866
TraesCS1A01G001100.1	3718	3719	1867.4	162.464
TraesCS1A01G001400.1	2531	2532	103.536	13.2305
TraesCS1A01G001500LC.1	512	513	3248.82	2049.06
TraesCS1A01G007300.1	925	926	0	0
TraesCS1A01G007400.1	903	904	0	0
TraesCS1A01G007700.1	603	604	0	0
TraesCS1A01G008000.1	1035	1036	0	0
TraesCS1A01G008200LC.1	420	421	0	0
TraesCS1A01G008300LC.1	348	349	0	0
TraesCS1A01G010400LC.1	1023	1024	0	0
TraesCS1A01G010700LC.1	498	499	0	0
TraesCS1A01G010900.1	471	472	0	0
TraesCS1A01G011100LC.1	420	421	57	43.8066
TraesCS1A01G020000.1	417	418	82	63.4722
TraesCS1A01G038100.1	766	767	300.564	126.791
TraesCS1A01G040200LC.1	1247	1248	0	0
TraesCS1A01G041300.1	453	454	15.5423	11.0766
TraesCS1A01G041400.1	483	484	370	247.345
TraesCS1A01G050900.1	984	985	406	133.363
TraesCS1A01G051700.1	1160	1161	362	100.884
TraesCS1A01G063100.1	604	605	0	0
TraesCS1A01G070100LC.1	297	298	49	53.2018
TraesCS1A01G070900.3	2338	2339	93	12.8647
TraesCS1A01G074800.1	1563	1564	193	39.927
TraesCS1A01G078800.1	934	935	969.601	335.527
TraesCS1A01G083800.1	1490	1491	0	0
TraesCS1A01G086100.1	1801	1802	23	4.12971
TraesCS1A01G092900.1	1197	1198	4704.72	1270.64
TraesCS1A01G096500.2	564	565	809.477	463.556
TraesCS1A01G097700.1	1518	1519	3055.97	650.935
TraesCS1A01G105400.1	876	877	2311.72	852.869
TraesCS1A01G106600.1	1102	1103	620	181.871
TraesCS1A01G112500.1	1096	1097	4721.69	1392.63
TraesCS1A01G115900.1	582	583	796.038	441.786
TraesCS1A01G117500.3	2760	2761	162	18.9843
TraesCS1A01G118200.1	165	166	40.9739	79.863
TraesCS1A01G125800.1	1198	1199	432.725	116.772
TraesCS1A01G126100.1	1805	1806	913	163.568
TraesCS1A01G127000.1	1214	1215	569	151.524
TraesCS1A01G136800.2	1330	1331	187	45.458
TraesCS1A01G142600.4	1025	1026	186	58.6559
TraesCS1A01G147000.1	940	941	1755.77	603.704
TraesCS1A01G148400.1	645	646	1330	666.14
TraesCS1A01G155200.1	987	988	5039.22	1650.26
TraesCS1A01G159100.1	432	433	854.168	638.266
TraesCS1A01G160300.1	1494	1495	195	42.2027
TraesCS1A01G162700.1	324	325	507.463	505.204
TraesCS1A01G166200LC.1	615	616	0	0
TraesCS1A01G166600.1	1071	1072	6.15664	1.85821
TraesCS1A01G173600.1	834	835	13	5.03736
TraesCS1A01G177800.1	2248	2249	953	137.104
TraesCS1A01G179400.1	644	645	107	53.6748
TraesCS1A01G186400.1	1025	1026	0	0
TraesCS1A01G186600.1	967	968	0	0
TraesCS1A01G187800LC.1	438	439	5	3.68512
TraesCS1A01G193500.1	1471	1472	418.973	92.0926
TraesCS1A01G200000.2	979	980	852	281.294
TraesCS1A01G200800.1	1593	1594	373	75.7124
TraesCS1A01G202900.1	246	247	0	0
TraesCS1A01G209800.1	435	436	1	0.742096
TraesCS1A01G217200.1	826	827	1309.51	512.33
TraesCS1A01G224200.1	661	662	0	0
TraesCS1A01G224600.1	282	283	1	1.1433
TraesCS1A01G229000.1	650	651	542.276	269.517
TraesCS1A01G234600.1	1554	1555	213	44.3196
TraesCS1A01G250300.1	627	628	839	432.264
TraesCS1A01G262400.1	540	541	756.614	452.505
TraesCS1A01G265800.1	615	616	84.7744	44.5277
TraesCS1A01G270500LC.1	911	912	40	14.1909
TraesCS1A01G273500.1	1093	1094	129	38.1521
TraesCS1A01G277500.1	675	676	1641.28	785.566
TraesCS1A01G281000.2	1170	1171	42	11.6048
TraesCS1A01G286300.1	804	805	618.001	248.393
