target_id	length	eff_length	est_counts	tpm
TraesCS1A01G000100LC.1	2740	2741	8644.33	1023.71
TraesCS1A01G000400.1	3055	3056	322.892	34.2973
TraesCS1A01G000900.1	2987	2988	2955.84	321.112
TraesCS1A01G001000.1	2332	2333	430.313	59.8722
TraesCS1A01G001100.1	3718	3719	2398.52	209.35
TraesCS1A01G001400.1	2531	2532	223.714	28.6805
TraesCS1A01G001500LC.1	512	513	3629.23	2296.43
TraesCS1A01G007300.1	925	926	0	0
TraesCS1A01G007400.1	903	904	0	0
TraesCS1A01G007700.1	603	604	0	0
TraesCS1A01G008000.1	1035	1036	0	0
TraesCS1A01G008200LC.1	420	421	0	0
TraesCS1A01G008300LC.1	348	349	0	0
TraesCS1A01G010400LC.1	1023	1024	0	0
TraesCS1A01G010700LC.1	498	499	0	0
TraesCS1A01G010900.1	471	472	0	0
TraesCS1A01G011100LC.1	420	421	59	45.4911
TraesCS1A01G020000.1	417	418	29	22.5205
TraesCS1A01G038100.1	766	767	192.421	81.4355
TraesCS1A01G040200LC.1	1247	1248	0	0
TraesCS1A01G041300.1	453	454	1	0.714991
TraesCS1A01G041400.1	483	484	73	48.9591
TraesCS1A01G050900.1	984	985	286.699	94.4815
TraesCS1A01G051700.1	1160	1161	673	188.165
TraesCS1A01G063100.1	604	605	0	0
TraesCS1A01G070100LC.1	297	298	37.3007	40.631
TraesCS1A01G070900.3	2338	2339	113	15.6821
TraesCS1A01G074800.1	1563	1564	235	48.7739
TraesCS1A01G078800.1	934	935	932.568	323.762
TraesCS1A01G083800.1	1490	1491	0	0
TraesCS1A01G086100.1	1801	1802	37	6.66505
TraesCS1A01G092900.1	1197	1198	3731.29	1011.02
TraesCS1A01G096500.2	564	565	558.444	320.84
TraesCS1A01G097700.1	1518	1519	2672.94	571.199
TraesCS1A01G105400.1	876	877	1813.61	671.275
TraesCS1A01G106600.1	1102	1103	514	151.267
TraesCS1A01G112500.1	1096	1097	3509	1038.32
TraesCS1A01G115900.1	582	583	1343.89	748.258
TraesCS1A01G117500.3	2760	2761	187	21.9853
TraesCS1A01G118200.1	165	166	62.3546	121.932
TraesCS1A01G125800.1	1198	1199	461.58	124.964
TraesCS1A01G126100.1	1805	1806	1190	213.888
TraesCS1A01G127000.1	1214	1215	589	157.36
TraesCS1A01G136800.2	1330	1331	142	34.6311
TraesCS1A01G142600.4	1025	1026	191	60.4286
TraesCS1A01G147000.1	940	941	1419.73	489.746
TraesCS1A01G148400.1	645	646	945	474.849
TraesCS1A01G155200.1	987	988	4413.04	1449.9
TraesCS1A01G159100.1	432	433	636.294	477.009
TraesCS1A01G160300.1	1494	1495	85	18.4559
TraesCS1A01G162700.1	324	325	287	286.652
TraesCS1A01G166200LC.1	615	616	0	0
TraesCS1A01G166600.1	1071	1072	4.25573	1.28865
TraesCS1A01G173600.1	834	835	21	8.16374
TraesCS1A01G177800.1	2248	2249	1642	236.995
TraesCS1A01G179400.1	644	645	159	80.0191
TraesCS1A01G186400.1	1025	1026	0	0
TraesCS1A01G186600.1	967	968	0	0
TraesCS1A01G187800LC.1	438	439	1	0.739421
TraesCS1A01G193500.1	1471	1472	462.406	101.97
TraesCS1A01G200000.2	979	980	964	319.306
TraesCS1A01G200800.1	1593	1594	397	80.846
TraesCS1A01G202900.1	246	247	0	0
TraesCS1A01G209800.1	435	436	0	0
TraesCS1A01G217200.1	826	827	976.528	383.297
TraesCS1A01G224200.1	661	662	1	0.490341
TraesCS1A01G224600.1	282	283	1	1.14702
TraesCS1A01G229000.1	650	651	407.861	203.37
TraesCS1A01G234600.1	1554	1555	596	124.415
