target_id	length	eff_length	est_counts	tpm
TRINITY_DN98_c0_g1_i1	985	791.252	506	1025.44
TRINITY_DN2_c0_g1_i1	1096	902.252	55	97.7481
TRINITY_DN48_c0_g1_i1	789	595.252	2	5.38769
TRINITY_DN70_c0_g1_i1	1074	880.252	416	757.809
TRINITY_DN66_c0_g1_i1	365	176.444	0	0
TRINITY_DN66_c0_g1_i2	321	136.485	1	11.7487
TRINITY_DN76_c0_g1_i1	1395	1201.25	41	54.7297
TRINITY_DN43_c0_g1_i1	586	392.532	0	0
TRINITY_DN43_c0_g2_i1	1499	1305.25	1	1.22851
TRINITY_DN33_c0_g1_i1	467	274.48	11	64.2622
TRINITY_DN82_c0_g1_i1	1266	1072.25	1	1.49547
TRINITY_DN25_c0_g1_i1	402	211.371	0	0
TRINITY_DN25_c0_g1_i2	475	282.285	1	5.6805
TRINITY_DN19_c0_g1_i1	384	194.481	0	0
TRINITY_DN19_c0_g1_i2	584	390.532	0	0
TRINITY_DN44_c0_g1_i1	1352	1158.25	22	30.4574
TRINITY_DN44_c0_g1_i2	1429	1235.25	0	0
TRINITY_DN61_c0_g1_i1	201	43.1744	0	0
TRINITY_DN22_c0_g1_i1	586	392.532	52	212.423
TRINITY_DN22_c0_g1_i2	345	158.019	0	0
TRINITY_DN78_c0_g1_i1	1065	871.252	69	126.993
TRINITY_DN85_c0_g1_i1	2158	1964.25	2	1.6327
TRINITY_DN85_c0_g2_i1	949	755.252	0	0
TRINITY_DN29_c0_g1_i2	300	118.216	43	583.265
TRINITY_DN60_c0_g1_i1	202	43.7707	0	0
TRINITY_DN60_c0_g2_i1	560	366.532	3	13.1245
TRINITY_DN45_c0_g1_i1	1627	1433.25	8	8.95037
TRINITY_DN83_c0_g1_i1	790	596.252	22	59.1652
TRINITY_DN83_c0_g1_i2	861	667.252	0	0
TRINITY_DN47_c0_g1_i1	2703	2509.25	41	26.2007
TRINITY_DN58_c0_g1_i1	1015	821.252	134	261.639
TRINITY_DN95_c0_g1_i1	542	348.639	4	18.3975
TRINITY_DN91_c0_g1_i1	912	718.252	0	0
TRINITY_DN56_c0_g1_i1	224	58.0058	0	0
TRINITY_DN51_c0_g1_i1	395	204.875	0	0
TRINITY_DN90_c0_g1_i2	1153	959.252	1	1.67163
TRINITY_DN18_c0_g1_i1	220	55.2721	0	0
TRINITY_DN40_c0_g1_i1	964	770.252	108	224.835
TRINITY_DN16_c0_g1_i2	1091	897.252	27	48.2528
TRINITY_DN55_c0_g1_i1	2183	1989.25	79	63.6812
TRINITY_DN59_c0_g1_i1	286	105.986	0	0
TRINITY_DN59_c0_g1_i2	264	87.8396	0	0
TRINITY_DN64_c0_g1_i1	270	92.6154	0	0
TRINITY_DN64_c0_g2_i1	281	101.755	0	0
TRINITY_DN96_c0_g1_i1	205	45.6991	0	0
TRINITY_DN96_c0_g1_i2	202	43.7707	0	0
TRINITY_DN71_c0_g1_i1	205	45.6991	7	245.62
TRINITY_DN5_c0_g1_i1	832	638.252	11	27.6359
TRINITY_DN81_c0_g1_i1	483	290.198	0	0
TRINITY_DN37_c0_g1_i1	215	52.053	0	0
TRINITY_DN37_c0_g2_i1	283	103.43	1	15.5035
TRINITY_DN79_c0_g1_i1	732	538.311	114	339.582
TRINITY_DN75_c0_g1_i1	352	164.491	0	0
TRINITY_DN93_c0_g1_i1	1746	1552.25	0	0
TRINITY_DN93_c0_g1_i2	1647	1453.25	21	23.1714
TRINITY_DN1_c0_g1_i2	212	50.1587	0	0
TRINITY_DN99_c0_g1_i1	1244	1050.25	110	167.947
TRINITY_DN3_c0_g1_i1	1733	1539.25	2	2.0835
TRINITY_DN14_c0_g1_i1	285	105.078	1	15.2602
TRINITY_DN14_c0_g2_i1	363	174.641	0	0
TRINITY_DN31_c0_g1_i1	221	55.9624	0	0
TRINITY_DN7_c0_g1_i1	1836	1642.25	0	0
TRINITY_DN8_c0_g1_i1	346	158.905	1	10.0911
TRINITY_DN62_c0_g1_i1	249	76.131	2	42.1252
TRINITY_DN62_c0_g2_i1	300	118.216	8	108.514
TRINITY_DN88_c0_g1_i1	1778	1584.25	1	1.01216
TRINITY_DN87_c0_g1_i1	661	467.364	2	6.86196
TRINITY_DN39_c0_g1_i1	441	249.085	11	70.814
TRINITY_DN97_c0_g1_i1	636	442.364	0	0
TRINITY_DN52_c0_g1_i1	564	370.532	11	47.6037
TRINITY_DN0_c0_g1_i1	1208	1014.25	18	28.4577
TRINITY_DN21_c0_g1_i1	2857	2663.25	24	14.4502
TRINITY_DN28_c0_g1_i1	312	128.779	1	12.4517
TRINITY_DN35_c0_g1_i1	1222	1028.25	104	162.184
TRINITY_DN24_c0_g1_i1	609	415.451	78.4077	302.63
TRINITY_DN24_c0_g1_i2	698	504.364	1.5923	5.06236
TRINITY_DN23_c0_g1_i1	388	198.183	4	32.3644
TRINITY_DN23_c0_g2_i1	853	659.252	8	19.4586
TRINITY_DN10_c0_g1_i1	290	109.415	26	381.041
TRINITY_DN10_c0_g2_i1	391	201.142	91	725.457
TRINITY_DN57_c0_g1_i2	202	43.7707	0	0
TRINITY_DN20_c0_g1_i1	1009	815.252	2	3.9338
TRINITY_DN68_c0_g1_i1	235	65.8569	0	0
TRINITY_DN53_c0_g1_i1	410	219.11	3	21.955
TRINITY_DN32_c0_g1_i1	260	84.7101	0	0
TRINITY_DN4_c0_g1_i1	797	603.252	39	103.667
TRINITY_DN9_c0_g1_i1	1805	1611.25	63	62.6976
TRINITY_DN46_c0_g1_i1	450	257.958	0	0
TRINITY_DN46_c0_g1_i2	539	345.639	0	0
TRINITY_DN6_c0_g1_i1	204	45.0564	0	0
TRINITY_DN54_c0_g1_i1	872	678.252	0	0
TRINITY_DN84_c0_g1_i1	3521	3327.25	3	1.4458
TRINITY_DN26_c0_g1_i1	1981	1787.25	398	357.084
TRINITY_DN89_c0_g1_i1	582	388.532	0	0
TRINITY_DN12_c0_g1_i1	714	520.364	0	0
TRINITY_DN41_c0_g1_i1	601	407.451	0	0
TRINITY_DN77_c0_g1_i1	264	87.8396	0	0
TRINITY_DN13_c0_g1_i1	236	66.6361	0	0
TRINITY_DN13_c0_g1_i2	304	121.718	0	0
TRINITY_DN30_c0_g1_i2	402	211.371	0	0
TRINITY_DN72_c0_g1_i1	825	631.252	120	304.826
TRINITY_DN65_c0_g1_i1	354	166.321	1	9.64109
TRINITY_DN38_c0_g1_i1	1076	882.252	139	252.636
TRINITY_DN63_c0_g1_i1	1318	1124.25	0	0
TRINITY_DN50_c0_g1_i1	227	60.1835	2	53.2876
TRINITY_DN34_c0_g1_i1	214	51.3809	0	0
TRINITY_DN42_c0_g1_i1	3086	2892.25	0	0
TRINITY_DN74_c0_g1_i1	230	62.3879	17	436.94
TRINITY_DN11_c0_g1_i1	232	63.7127	0	0
TRINITY_DN49_c0_g1_i2	511	317.87	1	5.04458
TRINITY_DN15_c0_g1_i1	269	91.8519	0	0
TRINITY_DN80_c0_g1_i1	456	263.776	74	449.853
TRINITY_DN80_c0_g1_i2	428	236.451	0	0
TRINITY_DN86_c0_g1_i1	1274	1080.25	111	164.767
TRINITY_DN73_c0_g1_i1	882	688.252	0	0
TRINITY_DN73_c0_g1_i2	774	580.311	9	24.8688
TRINITY_DN17_c0_g1_i1	639	445.364	63	226.829
TRINITY_DN94_c0_g1_i1	1746	1552.25	10	10.3303
TRINITY_DN27_c0_g1_i1	1737	1543.25	120	124.686
TRINITY_DN266_c0_g1_i1	338	151.786	0	0
TRINITY_DN250_c0_g1_i1	882	688.252	562	1309.37
TRINITY_DN250_c0_g1_i2	992	798.252	0	0
TRINITY_DN201_c0_g1_i1	3090	2896.25	750	415.239
TRINITY_DN280_c0_g1_i1	1177	983.252	36	58.7099
TRINITY_DN280_c0_g2_i1	923	729.252	66	145.124
TRINITY_DN202_c0_g1_i1	345	158.019	0	0
TRINITY_DN210_c0_g1_i1	201	43.1744	0	0
TRINITY_DN210_c0_g2_i1	1521	1327.25	0	0
TRINITY_DN291_c0_g1_i2	1861	1667.25	2	1.92355
TRINITY_DN255_c0_g1_i1	1703	1509.25	10	10.6246
TRINITY_DN255_c0_g2_i1	1086	892.252	10	17.9716
TRINITY_DN238_c0_g1_i1	1101	907.252	39	68.9303
TRINITY_DN264_c0_g1_i1	889	695.252	0	0
TRINITY_DN208_c0_g1_i1	243	71.6813	14	313.181
TRINITY_DN276_c0_g1_i1	574	380.532	0.85127	3.58715
TRINITY_DN276_c0_g1_i2	1312	1118.25	62.1487	89.1182
TRINITY_DN217_c0_g1_i2	592	398.532	3	12.0707
TRINITY_DN217_c0_g1_i3	536	342.639	1	4.67991
TRINITY_DN272_c0_g1_i1	301	119.064	18	242.419
TRINITY_DN272_c0_g2_i1	825	631.252	95	241.321
TRINITY_DN279_c0_g1_i5	1379	1185.25	8.23076	11.1353
TRINITY_DN279_c0_g1_i2	1491	1297.25	4.76924	5.8952
TRINITY_DN279_c0_g1_i3	358	169.995	0	0
TRINITY_DN215_c0_g1_i1	1977	1783.25	159	142.974
TRINITY_DN222_c0_g1_i1	1077	883.252	0	0
TRINITY_DN239_c0_g1_i1	273	95.126	0	0
TRINITY_DN244_c0_g1_i1	705	511.364	0	0
TRINITY_DN299_c0_g1_i1	1780	1586.25	11	11.1197
